Abbrev,State,Code
Ala.,alabama,AL
Alaska,alaska,AK
Ariz.,arizona,AZ
Ark.,arkansas,AR
Calif.,california,CA
Colo.,colorado,CO
Conn.,connecticut,CT
Del.,delaware,DE
D.C.,district of columbia,DC
Fla.,florida,FL
Ga.,georgia,GA
Hawaii,hawaii,HI
Idaho,idaho,ID
Ill.,illinois,IL
Ind.,indiana,IN
Iowa,iowa,IA
Kans.,kansas,KS
Ky.,kentucky,KY
La.,louisiana,LA
Maine,maine,ME
Md.,maryland,MD
Mass.,massachusetts,MA
Mich.,michigan,MI
Minn.,minnesota,MN
Miss.,mississippi,MS
Mo.,missouri,MO
Mont.,montana,MT
Nebr.,nebraska,NE
Nev.,nevada,NV
N.H.,new hampshire,NH
N.J.,new jersey,NJ
N.M.,new mexico,NM
N.Y.,new york,NY
N.C.,north carolina,NC
N.D.,north dakota,ND
Ohio,ohio,OH
Okla.,oklahoma,OK
Ore.,oregon,OR
Pa.,pennsylvania,PA
R.I.,rhode island,RI
S.C.,south carolina,SC
S.D.,south dakota,SD
Tenn.,tennessee,TN
Tex.,texas,TX
Utah,utah,UT
Vt.,vermont,VT
Va.,virginia,VA
Wash.,washington,WA
W.Va.,west virginia,WV
Wis.,wisconsin,WI
Wyo.,wyoming,WY
